symbol,cagr,avg_fcf_margin,dcf_base_case,dcf_bull,dcf_bear
LH,5.55,9.28,181.9054664978758,362.8422162324291,109.06909579416063
LRCX,2.29,24.89,53.18581875003468,89.15649801842508,38.68709517292099
LVS,30.0,2.18,-0.6270670231577217,13.213384624981918,-6.162716426247157
LDOS,6.06,7.38,117.19552977410434,235.44191891404571,69.60418011701502
LEN,0.51,7.69,177.47320968467682,287.15940805419086,133.22814724843428
LII,3.26,10.24,172.72347596695562,329.79017385883736,109.4398154835388
LLY,30.0,4.24,88.64335062546985,188.7378496640201,48.6093930681842
LIN,0.62,15.94,107.2150866388896,213.0382042675692,64.53037383776702
LYV,14.74,4.63,113.24722714403762,200.34190138753794,78.29135856788383
LMT,4.38,8.79,364.9592832292373,675.146084622301,240.03755398729078
L,8.96,17.04,272.62286880283233,474.6576521856949,191.39143509578201
LOW,-3.85,8.05,60.58111328008737,149.8586079266255,24.493283381110114
LULU,11.03,11.1,226.08214975392352,392.2137204852141,159.33104046147483
LITE,-1.33,2.44,4.480148314516961,8.712728950393663,2.771376367941419
LYB,-10.0,6.45,13.474221228435471,44.792802499403194,0.7690926361355214
MTB,6.33,39.92,425.66769925487716,737.6912004871112,300.0980078570608
MPC,-9.23,6.03,123.79102212911002,272.186441632506,63.620684391317226
MAR,8.02,9.79,112.44169189654559,237.44268808238047,62.16697356331799
MRSH,9.2,16.55,133.5332902663814,259.24871009554084,82.99133684081629
MLM,-0.06,12.46,74.35720541093761,185.82317174786044,29.38280002361072
MAS,-4.49,11.21,30.07388995913178,59.36451601242834,18.22999550189014
MA,13.82,40.0,331.7329364629471,581.099432086282,231.62224043338364
MKC,2.51,10.3,21.271677528717582,48.748594763124714,10.197558845854529
MCD,5.06,26.15,83.31617446391154,194.11394349644303,38.7061608375676
MCK,13.39,1.41,1028.5986199438062,1801.9907616640185,718.0737752828503
MDT,1.91,16.27,44.327650091400415,85.21777936047629,27.843446631238386
MRK,3.12,21.81,67.32735682679119,125.91310048392732,43.72127691154707
META,19.89,26.26,697.9960413422058,1216.8871542810502,490.01561187140976
MET,3.92,20.74,339.2006210929998,597.8036659451935,235.0344038596602
MTD,0.9,21.24,461.4694538731932,848.9948820433962,305.1768913956778
MGM,10.14,8.45,0.7096745628271826,82.6786790504865,-32.2346093671197
MCHP,-10.0,26.83,9.269320199700532,21.387045432112174,4.353476279699409
MU,6.71,1.0,9.066724530955135,13.076879956073144,7.453117148484577
MSFT,12.42,29.14,233.99537923146937,407.272925801069,164.40271440216065
MAA,3.03,35.68,51.57707836916631,120.3843054550403,23.851403237203716
MRNA,-10.0,1.0,10.245994860941158,10.497606515192563,10.14392259927237
TAP,1.35,10.02,53.04409276371241,112.73705140686766,28.97409704559104
MDLZ,6.96,9.4,33.40617571419929,67.93344757123647,19.514292613161608
MPWR,15.86,23.6,361.635943395518,605.7883243974148,263.6743853582029
MNST,9.54,19.13,34.339891535697994,56.691076339657755,25.354940702334154
MCO,12.17,30.62,257.59131695464663,467.4084061404619,173.31710878107643
MS,9.52,1.0,61.210923607432186,66.96930574988536,58.896102449372776
MOS,-10.0,4.35,-3.655525721688748,4.9047300552843325,-7.128197407817813
MSI,8.63,19.22,199.7396148581038,378.6006351101595,127.8176617264781
MSCI,11.71,40.0,279.14776992681755,540.9998993616294,173.95844111259774
NDAQ,9.89,24.45,54.214499069693126,104.21848680506277,34.115721077898954
NTAP,1.32,18.5,89.91592191792797,147.53523853224667,66.68179003281026
NFLX,12.64,16.09,36.80916081312776,64.1327139863047,25.836039791656514
NEM,23.91,14.5,107.55341517996955,185.9198336142992,76.1716717755514
NWSA,-6.63,6.72,12.983107429960448,22.73121013738671,9.03671889971909
NWS,-6.63,6.72,25.940284818517565,45.417021188060936,18.055389539691117
