symbol,name,sector,industry,current_price,market_cap,enterprise_value,pe_ratio,forward_pe,ps_ratio,pb_ratio,ev_ebitda,ev_revenue,peg_ratio,beta,revenue,gross_profit,ebitda,net_income,earnings_per_share,free_cash_flow,operating_cash_flow,total_debt,total_cash,shares_outstanding,roe,roa,debt_to_equity,current_ratio,quick_ratio,fifty_two_week_high,fifty_two_week_low,dividend_yield,payout_ratio,analyst_target_price,recommendation,gross_margin,ebitda_margin,net_margin,fcf_margin,fifty_two_week_position,net_debt,p_fcf,altman_z_score,z_score_zone
APA,APA Corporation,Energy,Oil & Gas E&P,36.935,13055423488.0,18694631424.0,8.609557,8.679948,1.5596014,2.0220628,3.588,2.233,0.67,0.327,8370999808.0,6049999872.0,5210999808.0,1532999936.0,4.29,1691250048.0,4003000064.0,4536000000.0,293000000.0,353470227.0,0.26217,0.09611,61.314,0.919,0.702,45.66,17.74,2.62,0.2331,43.26923,hold,0.722733247015265,0.6225062629938123,0.1831322388199008,0.2020368040605741,68.75000000000003,4243000000.0,7.719392439742299,1.682,distress
APO,"Apollo Global Management, Inc.",Financial Services,Asset Management,126.79,73096658944.0,93098614784.0,79.742134,11.948065,2.3363268,3.9397802,11.172,2.976,0.66,1.488,31286999040.0,11020000256.0,,1155000064.0,1.59,,7854000128.0,40034000896.0,41946001408.0,576517513.0,0.08492,0.00708,101.267,2.024,1.98,157.28,99.56,1.75,1.283,150.25,buy,0.3522229869956872,,0.0369162942896296,,47.17602217602219,-1912000512.0,,0.06,not applicable
AAPL,Apple Inc.,Technology,Consumer Electronics,312.4,4588330024960.0,4587349606400.0,37.866665,32.514843,10.163719,43.0303,28.675,10.162,2.53,1.086,451442016256.0,216070995968.0,159975997440.0,122575003648.0,8.25,101090746368.0,140222005248.0,84710998016.0,68507000832.0,14687356000.0,1.4147099,0.26229,79.548,1.07,0.906,316.94,195.07,0.35,0.1259,310.507,buy,0.4786240274221003,0.3543666554716124,0.2715188202120983,0.2239285284218523,96.27471896282924,16203997184.0,45.3882296772954,12.007,safe
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,464.18,368540090368.0,397356433408.0,43.62594,28.706814,12.69777,15.414093,42.842,13.691,1.7,1.672,29024000000.0,14209000448.0,9274999808.0,8508000256.0,10.64,3040375040.0,7992999936.0,7267999744.0,8240999936.0,793959430.0,0.39692003,0.14858,30.399,2.508,1.624,508.26,154.47,0.42,0.1731,511.16666,strong_buy,0.4895603792723264,0.3195631135611907,0.293136723263506,0.1047538257993384,87.54063144803416,-973000192.0,121.21533803191596,18.144,safe
APP,AppLovin Corporation,Communication Services,Advertising Agencies,554.395,186243203072.0,188837953536.0,48.166378,25.28443,30.213724,78.88376,38.759,30.635,1.67,2.455,6164192256.0,5447099904.0,4872055808.0,3914972928.0,11.51,3180097280.0,4439283200.0,3849840128.0,2758671104.0,305732000.0,2.66444,0.44236,162.888,3.244,3.156,745.61,320.0,0.0,0.0,648.1,strong_buy,0.8836680748719334,0.7903802486461577,0.6351153185057309,0.5158984580509489,55.072719156034864,1091169024.0,53.29909031587864,25.391,safe
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,69.2,14644140032.0,22433368064.0,41.190475,10.154459,0.7088504,1.5915363,7.043,1.086,1.23,1.334,20658999296.0,3908999936.0,3184999936.0,365000000.0,1.68,1091124992.0,1768999936.0,9886000128.0,3172999936.0,211620527.0,0.040799998,0.05698,103.823,2.115,1.516,88.93,51.68,0.0,0.0,78.47368,strong_buy,0.1892153574329644,0.1541700975137106,0.0176678451250381,0.0528159653992177,47.033557046979865,6713000192.0,13.42113926064302,2.257,grey
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,91.22,31871320064.0,30678474752.0,7.016923,9.212755,1.6115347,1.3726788,5.202,1.551,1.05,0.306,19776999424.0,7785999872.0,5896999936.0,4832000000.0,13.0,5276125184.0,5902000128.0,2728999936.0,3620999936.0,349389588.0,0.21305999,0.045679998,11.282,0.566,0.269,103.39,82.45,0.0,0.0,108.92105,buy,0.3936896444741485,0.2981746527657683,0.2443242221130986,0.266780873624199,41.8815663801337,-892000000.0,6.040667555426979,,not applicable
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,81.85,39448137728.0,50512715776.0,36.540176,15.765549,0.48952818,1.7300416,19.895,0.627,2.61,0.603,80583999488.0,5074999808.0,2539000064.0,1080999936.0,2.24,1578499968.0,5944000000.0,10657000448.0,624000000.0,481956527.0,0.047659997,0.01669,46.128,1.311,0.268,85.37,46.81,2.49,0.9152,74.1,none,0.0629777603524845,0.0315074962788126,0.0134145729036565,0.0195882554605031,90.87136929460578,10033000448.0,24.99090436151976,3.213,safe
ARES,Ares Management Corporation,Financial Services,Asset Management,125.38,41356169216.0,47957716992.0,57.778797,17.127502,6.99871,11.018543,34.758,8.116,1.01,1.516,5909112832.0,2219550976.0,1379773056.0,561673024.0,2.17,1757137152.0,1679271040.0,14147783680.0,1438083968.0,222028421.0,0.14182,0.02536,168.762,0.488,0.415,195.26,95.8,4.14,2.1705,145.35294,none,0.3756149254724537,0.2334991893415922,0.0950520052618281,0.2973605686600638,29.74059923587372,12709699712.0,15.842772087138703,1.673,not applicable
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,153.83,193698037760.0,196687020032.0,52.86254,34.57219,19.948511,14.361871,46.419,20.256,2.25,1.611,9709899776.0,6169399808.0,4237199872.0,3720499968.0,2.91,4362237440.0,5423699968.0,0.0,12353200128.0,1259169438.0,0.31520998,0.14359,55.606,2.829,2.176,179.8,85.58,0.0,0.0,188.19922,strong_buy,0.6353721408380477,0.4363793622744804,0.3831656406172157,0.4492566906593784,72.4368499257058,-12353200128.0,44.40336806781889,18.932,safe
