symbol,cagr,avg_fcf_margin,wacc_7_tgr_1,wacc_7_tgr_2,wacc_7_tgr_3,wacc_7_tgr_4,wacc_7_tgr_5,wacc_8_tgr_1,wacc_8_tgr_2,wacc_8_tgr_3,wacc_8_tgr_4,wacc_8_tgr_5,wacc_9_tgr_1,wacc_9_tgr_2,wacc_9_tgr_3,wacc_9_tgr_4,wacc_9_tgr_5,wacc_10_tgr_1,wacc_10_tgr_2,wacc_10_tgr_3,wacc_10_tgr_4,wacc_10_tgr_5,wacc_11_tgr_1,wacc_11_tgr_2,wacc_11_tgr_3,wacc_11_tgr_4,wacc_11_tgr_5,wacc_12_tgr_1,wacc_12_tgr_2,wacc_12_tgr_3,wacc_12_tgr_4,wacc_12_tgr_5,wacc_13_tgr_1,wacc_13_tgr_2,wacc_13_tgr_3,wacc_13_tgr_4,wacc_13_tgr_5
EXR,20.63,40.0,177.2,218.74,281.05,384.89,592.58,140.18,168.77,208.79,268.82,368.87,112.5,133.16,160.71,199.28,257.14,91.03,106.52,126.45,153.01,190.2,73.91,85.86,100.81,120.02,145.64,59.95,69.39,80.92,95.34,113.88,48.36,55.95,65.06,76.19,90.11
XOM,-6.69,10.25,85.57,99.97,121.57,157.58,229.6,72.53,82.44,96.32,117.14,151.83,62.74,69.9,79.46,92.83,112.89,55.11,60.48,67.39,76.6,89.49,48.99,53.14,58.32,64.98,73.86,43.98,47.25,51.25,56.25,62.67,39.79,42.42,45.58,49.44,54.26
FFIV,4.63,23.22,271.72,312.25,373.05,474.38,677.04,235.33,263.22,302.28,360.85,458.48,208.06,228.22,255.1,292.74,349.2,186.86,201.98,221.42,247.34,283.63,169.92,181.58,196.16,214.91,239.91,156.06,165.27,176.53,190.6,208.68,144.53,151.93,160.82,171.68,185.26
FDS,7.98,27.24,360.3,425.11,522.33,684.37,1008.43,302.22,346.82,409.27,502.94,659.05,258.71,290.96,333.95,394.13,484.41,224.92,249.1,280.18,321.63,379.66,197.92,216.58,239.89,269.88,309.85,175.87,190.59,208.59,231.08,260.01,157.51,169.36,183.57,200.93,222.65
FICO,13.07,34.94,694.56,835.52,1046.96,1399.36,2104.15,568.56,665.57,801.38,1005.09,1344.62,474.24,544.36,637.86,768.75,965.09,401.03,453.62,521.22,611.36,737.56,342.6,383.17,433.88,499.08,586.02,294.9,326.92,366.07,414.99,477.9,255.25,281.01,311.91,349.69,396.9
FAST,5.52,13.37,19.46,22.64,27.4,35.35,51.23,16.61,18.79,21.86,26.45,34.1,14.47,16.05,18.16,21.11,25.54,12.81,14.0,15.52,17.55,20.4,11.48,12.4,13.54,15.01,16.97,10.4,11.12,12.0,13.11,14.52,9.5,10.08,10.77,11.62,12.69
FRT,5.98,21.02,9.34,19.92,35.79,62.25,115.15,,7.13,17.33,32.62,58.1,,,5.02,14.84,29.58,,,,3.0,12.47,,,,,1.07,,,,,,,,,,
FDX,-2.03,3.3,37.27,65.2,107.11,176.95,316.64,12.08,31.3,58.22,98.6,165.89,,7.07,25.6,51.55,90.46,,,2.28,20.15,45.16,,,,,14.93,,,,,,,,,,
FDXF,-6.12,11.87,51.09,64.22,83.92,116.76,182.44,39.2,48.24,60.9,79.88,111.52,30.28,36.81,45.53,57.72,76.02,23.32,28.22,34.53,42.93,54.69,17.75,21.53,26.26,32.33,40.44,13.18,16.17,19.82,24.37,30.24,9.37,11.77,14.65,18.17,22.57
FIS,3.18,18.02,29.52,40.59,57.2,84.88,140.24,19.57,27.19,37.86,53.86,80.53,12.11,17.62,24.96,35.25,50.67,6.31,10.45,15.76,22.84,32.75,1.68,4.87,8.85,13.97,20.8,,0.4,3.48,7.32,12.26,,,,2.15,5.86
FITB,2.87,40.0,55.21,66.62,83.73,112.25,169.28,44.96,52.81,63.8,80.29,107.76,37.27,42.95,50.51,61.11,77.0,31.3,35.55,41.02,48.32,58.53,26.52,29.8,33.91,39.18,46.22,22.61,25.2,28.37,32.33,37.42,19.36,21.44,23.94,27.0,30.82
FSLR,25.84,1.0,39.57,43.47,49.31,59.06,78.54,36.1,38.78,42.54,48.17,57.56,33.51,35.45,38.03,41.65,47.08,31.5,32.95,34.82,37.32,40.81,29.9,31.02,32.42,34.23,36.63,28.6,29.48,30.56,31.92,33.66,27.51,28.23,29.08,30.12,31.43
FE,6.59,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISV,6.11,20.62,172.33,200.37,242.43,312.54,452.75,147.17,166.47,193.49,234.02,301.56,128.32,142.27,160.87,186.92,225.98,113.68,124.14,137.59,155.52,180.63,101.97,110.05,120.13,133.11,150.4,92.41,98.78,106.57,116.3,128.82,84.45,89.57,95.72,103.23,112.63
F,5.82,3.52,,5.47,13.99,28.2,56.62,,,4.07,12.28,25.97,,,,2.74,10.65,,,,,1.46,,,,,,,,,,,,,,,
FTNT,15.46,32.43,96.88,112.59,136.15,175.42,253.96,82.85,93.66,108.8,131.5,169.34,72.36,80.17,90.59,105.18,127.06,64.21,70.07,77.61,87.65,101.72,57.71,62.23,67.89,75.15,84.84,52.41,55.98,60.34,65.79,72.8,48.0,50.88,54.32,58.53,63.79
FTV,-10.0,29.69,30.54,36.62,45.75,60.96,91.37,25.02,29.21,35.07,43.86,58.51,20.87,23.89,27.93,33.58,42.05,17.63,19.9,22.82,26.71,32.15,15.03,16.78,18.97,21.78,25.54,12.9,14.28,15.97,18.08,20.8,11.12,12.23,13.56,15.19,17.23
FOXA,5.27,12.5,187.24,220.83,271.2,355.16,523.09,157.11,180.22,212.58,261.11,342.01,134.52,151.23,173.5,204.69,251.47,116.97,129.49,145.6,167.08,197.15,102.94,112.6,124.69,140.22,160.93,91.47,99.1,108.42,120.08,135.07,81.92,88.06,95.42,104.42,115.67
FOX,5.27,12.5,169.24,199.59,245.12,321.01,472.78,142.0,162.89,192.13,236.0,309.12,121.58,136.68,156.82,185.0,227.29,105.72,117.04,131.6,151.01,178.19,93.04,101.77,112.7,126.74,145.46,82.67,89.57,98.0,108.53,122.08,74.04,79.59,86.25,94.38,104.55
BEN,1.96,13.57,38.58,45.0,54.62,70.67,102.77,32.8,37.22,43.41,52.68,68.14,28.48,31.67,35.93,41.89,50.83,25.11,27.51,30.58,34.69,40.44,22.42,24.27,26.58,29.54,33.5,20.22,21.67,23.46,25.69,28.55,18.38,19.55,20.96,22.68,24.83
FCX,4.39,5.72,15.49,18.74,23.61,31.73,47.98,12.57,14.81,17.94,22.63,30.46,10.38,12.0,14.15,17.17,21.7,8.68,9.9,11.45,13.53,16.44,7.33,8.26,9.43,10.93,12.94,6.21,6.95,7.85,8.98,10.43,5.29,5.88,6.6,7.47,8.55
GRMN,14.24,18.07,212.93,246.53,296.92,380.9,548.88,182.92,206.04,238.41,286.96,367.87,160.45,177.17,199.45,230.64,277.44,143.02,155.55,171.67,193.15,223.23,129.11,138.78,150.86,166.4,187.12,117.75,125.39,134.71,146.37,161.37,108.32,114.46,121.82,130.82,142.08
IT,5.87,19.03,358.97,421.42,515.09,671.22,983.47,302.94,345.92,406.09,496.34,646.77,260.96,292.03,333.45,391.44,478.43,228.34,251.64,281.59,321.52,377.44,202.27,220.24,242.71,271.6,310.11,180.96,195.15,212.49,234.16,262.03,163.22,174.63,188.33,205.06,225.98
GE,16.32,13.91,185.39,218.48,268.11,350.83,516.27,155.86,178.63,210.51,258.33,338.02,133.76,150.22,172.16,202.89,248.98,116.61,128.95,144.82,165.98,195.6,102.93,112.45,124.36,139.66,160.07,91.77,99.29,108.48,119.96,134.73,82.5,88.54,95.8,104.67,115.75
GEHC,3.99,8.44,55.18,67.01,84.77,114.37,173.56,44.54,52.69,64.1,81.21,109.72,36.58,42.46,50.32,61.31,77.8,30.38,34.8,40.47,48.04,58.64,25.43,28.83,33.09,38.57,45.87,21.38,24.07,27.35,31.46,36.75,18.01,20.17,22.76,25.94,29.9
GEV,8.68,3.46,137.18,156.06,184.39,231.59,326.01,120.26,133.26,151.45,178.74,224.23,107.59,116.99,129.51,147.05,173.35,97.75,104.8,113.85,125.93,142.84,89.89,95.33,102.12,110.86,122.5,83.47,87.76,93.01,99.56,107.99,78.13,81.58,85.72,90.78,97.11
GEN,14.66,34.38,72.47,86.86,108.43,144.38,216.29,59.63,69.52,83.38,104.17,138.81,50.01,57.17,66.71,80.06,100.09,42.55,47.92,54.81,64.01,76.89,36.6,40.74,45.91,52.56,61.43,31.74,35.01,39.0,43.99,50.41,27.7,30.33,33.48,37.34,42.15
GNRC,-2.67,7.4,56.4,68.15,85.78,115.16,173.93,45.8,53.89,65.21,82.19,110.5,37.84,43.69,51.48,62.4,78.77,31.65,36.03,41.67,49.18,59.7,26.69,30.07,34.3,39.73,46.98,22.62,25.29,28.56,32.64,37.88,19.24,21.38,23.96,27.11,31.05
GD,10.07,8.01,363.61,427.53,523.42,683.23,1002.85,306.39,350.38,411.97,504.35,658.32,263.53,295.33,337.73,397.09,486.13,230.26,254.11,284.77,325.64,382.88,203.69,222.09,245.08,274.65,314.08,181.99,196.51,214.26,236.45,264.97,163.94,175.62,189.63,206.76,228.18
GIS,0.86,12.34,76.13,88.09,106.03,135.92,195.72,65.37,73.6,85.12,102.4,131.21,57.29,63.24,71.18,82.28,98.94,51.02,55.48,61.21,68.86,79.57,45.99,49.44,53.74,59.27,66.65,41.88,44.6,47.92,52.07,57.41,38.46,40.64,43.27,46.47,50.48
GM,5.69,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPC,3.22,3.44,67.43,85.5,112.62,157.81,248.19,51.19,63.63,81.04,107.17,150.71,39.01,48.0,59.99,76.78,101.96,29.55,36.29,44.96,56.52,72.7,21.98,27.18,33.68,42.04,53.19,15.79,19.89,24.91,31.19,39.25,10.63,13.93,17.9,22.74,28.8
GILD,2.57,31.48,124.71,146.26,178.59,232.48,340.24,105.34,120.17,140.93,172.08,224.0,90.81,101.53,115.83,135.84,165.86,79.52,87.56,97.89,111.68,130.97,70.48,76.69,84.44,94.41,107.7,63.1,67.99,73.98,81.46,91.08,56.94,60.88,65.61,71.38,78.6
GPN,-4.96,25.26,26.71,40.75,61.8,96.88,167.04,14.03,23.69,37.21,57.49,91.29,4.51,11.49,20.8,33.83,53.38,,2.33,9.06,18.03,30.6,,,0.24,6.73,15.38,,,,,4.5,,,,,
GL,4.67,24.23,333.44,393.23,482.91,632.37,931.29,279.77,320.92,378.52,464.92,608.92,239.55,269.29,308.94,364.46,447.73,208.28,230.59,259.26,297.49,351.02,183.29,200.5,222.01,249.66,286.54,162.86,176.44,193.04,213.8,240.48,145.85,156.77,169.88,185.9,205.93
GDDY,6.56,26.17,190.58,224.78,276.07,361.57,532.56,159.91,183.45,216.4,265.82,348.19,136.93,153.95,176.63,208.39,256.02,119.08,131.84,148.24,170.11,200.73,104.82,114.66,126.96,142.78,163.87,93.16,100.93,110.42,122.29,137.55,83.45,89.7,97.2,106.37,117.82
GS,7.16,1.0,1068.94,1076.04,1086.68,1104.43,1139.93,1062.57,1067.46,1074.3,1084.56,1101.66,1057.8,1061.34,1066.04,1072.64,1082.52,1054.1,1056.75,1060.15,1064.69,1071.05,1051.14,1053.18,1055.74,1059.02,1063.4,1048.72,1050.34,1052.31,1054.77,1057.94,1046.71,1048.01,1049.56,1051.47,1053.84
HAL,3.01,8.3,33.24,39.74,49.49,65.74,98.23,27.4,31.87,38.14,47.53,63.18,23.02,26.26,30.57,36.6,45.65,19.62,22.04,25.16,29.32,35.14,16.9,18.77,21.11,24.11,28.12,14.67,16.15,17.95,20.21,23.11,12.82,14.0,15.43,17.17,19.35
HIG,8.7,19.09,458.57,534.0,647.15,835.73,1212.89,391.0,442.91,515.59,624.61,806.3,340.39,377.92,427.95,498.0,603.07,301.08,329.22,365.4,413.64,481.17,269.69,291.4,318.54,353.43,399.95,244.04,261.18,282.12,308.3,341.97,222.7,236.48,253.02,273.24,298.5
HAS,-7.06,11.05,25.03,31.51,41.22,57.41,89.78,19.17,23.63,29.87,39.22,54.82,14.77,17.99,22.28,28.3,37.32,11.34,13.75,16.86,21.0,26.79,8.59,10.45,12.78,15.77,19.77,6.33,7.8,9.6,11.85,14.73,4.44,5.63,7.05,8.78,10.95
HCA,7.87,8.06,402.03,504.0,656.96,911.88,1421.73,310.65,380.83,479.07,626.44,872.06,242.2,292.93,360.56,455.25,597.28,189.03,227.06,275.97,341.18,432.47,146.55,175.89,212.58,259.75,322.64,111.84,135.01,163.32,198.72,244.22,82.96,101.59,123.95,151.28,185.43
DOC,11.05,40.0,28.52,35.56,46.1,63.68,98.84,22.23,27.07,33.85,44.01,60.95,17.52,21.02,25.68,32.21,42.01,13.86,16.49,19.86,24.36,30.65,10.94,12.97,15.5,18.75,23.09,8.56,10.15,12.11,14.55,17.69,6.57,7.86,9.4,11.29,13.64
HSIC,1.4,3.86,44.89,57.07,75.35,105.81,166.74,33.93,42.31,54.05,71.66,101.01,25.71,31.77,39.85,51.17,68.14,19.31,23.86,29.7,37.5,48.41,14.2,17.71,22.09,27.73,35.24,10.02,12.79,16.17,20.4,25.84,6.53,8.76,11.43,14.7,18.78
HSY,3.92,15.85,206.78,245.31,303.11,399.45,592.12,172.17,198.69,235.81,291.5,384.32,146.23,165.4,190.96,226.74,280.41,126.06,140.44,158.92,183.56,218.06,109.94,121.03,134.89,152.72,176.48,96.76,105.51,116.21,129.59,146.78,85.78,92.82,101.27,111.59,124.5
HPE,6.37,4.76,14.11,18.37,24.77,35.44,56.78,10.28,13.21,17.33,23.49,33.77,7.41,9.53,12.36,16.33,22.27,5.18,6.77,8.82,11.55,15.37,3.4,4.63,6.16,8.14,10.77,1.94,2.91,4.1,5.58,7.49,0.73,1.51,2.45,3.59,5.02
HLT,11.13,16.75,174.93,213.09,270.34,365.76,556.59,140.78,167.04,203.82,258.98,350.91,115.21,134.2,159.51,194.95,248.12,95.36,109.6,127.9,152.31,186.48,79.51,90.5,104.23,121.88,145.42,66.57,75.24,85.84,99.09,116.12,55.81,62.78,71.15,81.38,94.16
HD,1.52,9.24,200.61,242.47,305.26,409.9,619.2,162.96,191.77,232.1,292.59,393.42,134.73,155.55,183.32,222.19,280.49,112.77,128.39,148.46,175.23,212.71,95.21,107.26,122.32,141.68,167.49,80.84,90.35,101.97,116.5,135.18,68.87,76.52,85.69,96.91,110.93
HON,1.82,14.04,104.84,127.94,162.59,220.34,335.84,84.07,99.97,122.22,155.61,211.24,68.49,79.98,95.31,116.76,148.93,56.38,65.0,76.08,90.85,111.53,46.69,53.34,61.65,72.34,86.58,38.77,44.01,50.43,58.45,68.75,32.16,36.38,41.45,47.64,55.37
HRL,-0.95,6.55,22.81,26.3,31.53,40.26,57.71,19.66,22.07,25.43,30.47,38.88,17.3,19.04,21.36,24.6,29.46,15.47,16.77,18.44,20.68,23.8,14.0,15.0,16.26,17.87,20.03,12.8,13.59,14.56,15.77,17.33,11.79,12.43,13.2,14.13,15.3
HST,7.61,16.11,26.46,31.73,39.65,52.84,79.21,21.73,25.36,30.44,38.07,50.77,18.19,20.81,24.31,29.21,36.56,15.43,17.4,19.93,23.31,28.03,13.24,14.75,16.65,19.09,22.35,11.44,12.64,14.1,15.93,18.29,9.95,10.91,12.07,13.48,15.25
HWM,13.37,12.57,67.74,80.09,98.62,129.5,191.26,56.7,65.2,77.1,94.95,124.71,48.44,54.58,62.78,74.24,91.45,42.02,46.63,52.56,60.45,71.51,36.9,40.46,44.9,50.62,58.24,32.73,35.53,38.96,43.25,48.76,29.25,31.51,34.22,37.53,41.67
HPQ,-4.21,5.6,37.2,44.14,54.55,71.89,106.58,30.93,35.71,42.39,52.42,69.13,26.23,29.68,34.28,40.73,50.39,22.57,25.15,28.48,32.92,39.13,19.63,21.63,24.12,27.33,31.61,17.23,18.8,20.73,23.14,26.23,15.22,16.49,18.01,19.87,22.19
HUBB,5.71,12.96,254.24,302.37,374.56,494.88,735.52,211.06,244.18,290.55,360.11,476.03,178.7,202.64,234.57,279.26,346.3,153.56,171.51,194.59,225.37,268.46,133.46,147.31,164.63,186.89,216.58,117.04,127.97,141.34,158.04,179.52,103.36,112.16,122.71,135.61,151.73
HUM,11.77,2.21,698.63,804.41,963.07,1227.51,1756.39,604.03,676.82,778.73,931.6,1186.38,533.19,585.81,655.97,754.2,901.53,478.21,517.66,568.4,636.04,730.74,434.31,464.75,502.81,551.73,616.97,398.46,422.5,451.87,488.58,535.79,368.66,387.99,411.18,439.53,474.96
HBAN,3.88,34.23,24.37,28.59,34.93,45.48,66.6,20.58,23.48,27.55,33.65,43.83,17.73,19.83,22.63,26.56,32.44,15.52,17.1,19.12,21.82,25.6,13.75,14.97,16.49,18.44,21.05,12.31,13.27,14.44,15.91,17.79,11.11,11.88,12.8,13.94,15.35
HII,5.35,4.25,205.44,249.93,316.67,427.91,650.37,165.52,196.14,239.0,303.3,410.47,135.59,157.73,187.24,228.56,290.53,112.34,128.94,150.28,178.73,218.57,93.76,106.56,122.57,143.15,170.59,78.56,88.67,101.03,116.47,136.33,65.92,74.05,83.8,95.73,110.63
IBM,3.72,17.32,174.27,212.26,269.23,364.2,554.12,140.15,166.29,202.89,257.79,349.28,114.58,133.47,158.67,193.94,246.85,94.7,108.86,127.08,151.37,185.38,78.8,89.73,103.4,120.97,144.4,65.8,74.43,84.98,98.16,115.11,54.98,61.92,70.24,80.42,93.15
IEX,2.81,17.7,132.99,157.14,193.37,253.75,374.51,111.28,127.9,151.17,186.08,244.25,95.0,107.02,123.04,145.47,179.11,82.35,91.36,102.95,118.39,140.01,72.23,79.18,87.87,99.05,113.94,63.96,69.45,76.15,84.53,95.31,57.06,61.48,66.77,73.25,81.34
IDXX,8.52,19.31,233.83,274.16,334.65,435.47,637.11,197.7,225.46,264.31,322.6,419.73,170.64,190.71,217.45,254.9,311.08,149.63,164.67,184.01,209.8,245.91,132.84,144.44,158.95,177.61,202.48,119.12,128.28,139.48,153.48,171.48,107.71,115.08,123.92,134.73,148.24
ITW,0.23,16.51,120.93,144.62,180.17,239.4,357.88,99.6,115.9,138.73,172.98,230.05,83.6,95.38,111.1,133.1,166.11,71.15,79.99,91.35,106.51,127.72,61.19,68.01,76.53,87.5,102.11,53.04,58.42,65.0,73.23,83.8,46.25,50.58,55.77,62.12,70.06
INCY,14.84,17.46,155.52,178.34,212.58,269.63,383.73,135.14,150.84,172.83,205.81,260.78,119.88,131.24,146.37,167.56,199.35,108.05,116.56,127.5,142.1,162.53,98.6,105.17,113.38,123.93,138.01,90.89,96.08,102.41,110.33,120.52,84.49,88.66,93.66,99.77,107.42
IR,8.95,16.16,65.53,77.86,96.35,127.18,188.84,54.48,62.97,74.85,92.67,122.37,46.21,52.34,60.52,71.97,89.15,39.78,44.38,50.3,58.18,69.22,34.65,38.2,42.64,48.34,55.95,30.46,33.26,36.69,40.97,46.47,26.98,29.23,31.93,35.24,39.37
PODD,27.54,6.61,119.52,141.69,174.96,230.4,341.27,99.8,115.06,136.43,168.47,221.89,85.06,96.09,110.8,131.39,162.28,73.64,81.91,92.55,106.73,126.59,64.54,70.93,78.9,89.16,102.84,57.13,62.17,68.33,76.02,85.92,50.98,55.03,59.9,65.84,73.27
INTC,-5.71,1.0,,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBKR,30.0,40.0,701.5,788.16,918.15,1134.8,1568.11,624.49,684.13,767.63,892.87,1101.61,566.95,610.06,667.54,748.02,868.73,522.38,554.7,596.27,651.69,729.28,486.87,511.81,542.99,583.08,636.53,457.95,477.64,501.7,531.78,570.46,433.97,449.8,468.8,492.03,521.05
ICE,9.47,31.53,135.13,163.31,205.56,276.0,416.86,109.91,129.3,156.44,197.15,265.01,91.02,105.03,123.72,149.88,189.12,76.34,86.85,100.37,118.38,143.6,64.63,72.74,82.87,95.9,113.28,55.06,61.46,69.28,79.06,91.63,47.1,52.24,58.42,65.97,75.41
IFF,-4.34,3.75,,1.28,6.16,14.31,30.59,,,0.46,5.17,13.01,,,,,4.21,,,,,,,,,,,,,,,,,,,,
IP,3.75,3.57,14.2,19.08,26.4,38.59,62.98,9.82,13.18,17.88,24.93,36.68,6.54,8.97,12.2,16.73,23.52,3.99,5.81,8.15,11.26,15.63,1.95,3.35,5.1,7.36,10.37,0.28,1.38,2.74,4.43,6.61,,,0.85,2.15,3.79
INTU,13.95,30.71,615.25,718.55,873.49,1131.72,1648.2,522.95,594.04,693.56,842.85,1091.65,453.87,505.26,573.77,669.69,813.57,400.26,438.79,488.33,554.39,646.87,357.47,387.2,424.36,472.14,535.85,322.55,346.02,374.7,410.55,456.65,293.52,312.4,335.05,362.73,397.33
ISRG,17.39,16.57,170.09,196.78,236.81,303.54,437.0,146.27,164.64,190.36,228.93,293.22,128.45,141.73,159.43,184.22,221.4,114.63,124.59,137.39,154.46,178.35,103.6,111.28,120.89,133.23,149.7,94.61,100.67,108.08,117.35,129.26,87.14,92.01,97.87,105.02,113.96
IVZ,1.78,17.35,40.86,47.79,58.18,75.51,110.16,34.62,39.39,46.07,56.09,72.78,29.95,33.4,38.0,44.43,54.08,26.32,28.9,32.23,36.66,42.86,23.41,25.4,27.9,31.1,35.38,21.03,22.61,24.53,26.94,30.03,19.05,20.32,21.84,23.69,26.01
INVH,6.84,35.27,20.46,26.2,34.8,49.14,77.82,15.32,19.26,24.79,33.08,46.9,11.46,14.32,18.12,23.45,31.44,8.47,10.61,13.36,17.03,22.16,6.08,7.73,9.79,12.44,15.98,4.12,5.42,7.02,9.01,11.57,2.49,3.54,4.8,6.34,8.26
IQV,4.21,11.83,139.42,175.55,229.75,320.09,500.77,106.97,131.84,166.65,218.87,305.91,82.65,100.62,124.59,158.15,208.48,63.74,77.22,94.55,117.66,150.01,48.63,59.03,72.03,88.74,111.03,36.27,44.48,54.52,67.06,83.18,25.98,32.59,40.51,50.19,62.3
IRM,10.58,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JBHT,-6.78,3.42,34.86,42.65,54.33,73.81,112.76,27.81,33.17,40.67,51.93,70.7,22.51,26.38,31.55,38.79,49.64,18.38,21.29,25.02,30.0,36.98,15.07,17.31,20.12,23.72,28.52,12.36,14.13,16.29,19.0,22.47,10.09,11.52,13.22,15.31,17.92
JBL,-3.8,2.5,70.89,85.66,107.81,144.73,218.57,57.56,67.72,81.95,103.3,138.87,47.55,54.9,64.69,78.41,98.98,39.76,45.27,52.35,61.79,75.01,33.51,37.76,43.08,49.91,59.02,28.4,31.76,35.86,40.98,47.57,24.13,26.83,30.07,34.03,38.97
JKHY,6.93,14.24,101.97,118.88,144.26,186.56,271.15,86.8,98.44,114.74,139.19,179.94,75.43,83.85,95.07,110.78,134.35,66.6,72.91,81.03,91.85,106.99,59.55,64.42,70.5,78.33,88.76,53.78,57.63,62.32,68.2,75.75,48.99,52.08,55.79,60.32,65.99
J,7.13,6.11,109.65,131.98,165.48,221.31,332.97,89.63,104.99,126.51,158.79,212.58,74.63,85.74,100.55,121.29,152.39,62.97,71.3,82.02,96.3,116.29,53.66,60.09,68.13,78.46,92.23,46.06,51.13,57.33,65.08,75.05,39.72,43.8,48.7,54.69,62.17
JNJ,5.6,20.8,153.7,180.88,221.64,289.58,425.47,129.32,148.02,174.21,213.48,278.94,111.05,124.57,142.59,167.83,205.68,96.85,106.98,120.02,137.4,161.73,85.5,93.32,103.1,115.67,132.43,76.22,82.4,89.94,99.38,111.5,68.5,73.47,79.42,86.71,95.81
JCI,4.57,6.58,35.58,43.67,55.8,76.02,116.46,28.32,33.89,41.68,53.37,72.85,22.88,26.9,32.27,39.78,51.04,18.65,21.67,25.55,30.72,37.96,15.27,17.6,20.51,24.25,29.24,12.51,14.34,16.59,19.4,23.0,10.2,11.68,13.45,15.62,18.33
JPM,12.5,1.0,116.09,119.2,123.86,131.64,147.18,113.31,115.45,118.44,122.94,130.43,111.23,112.77,114.84,117.72,122.05,109.61,110.77,112.26,114.25,117.03,108.32,109.22,110.33,111.77,113.69,107.27,107.97,108.84,109.92,111.3,106.39,106.96,107.64,108.48,109.52
KVUE,0.39,12.97,12.71,15.36,19.33,25.96,39.2,10.33,12.15,14.7,18.53,24.91,8.54,9.86,11.61,14.07,17.76,7.15,8.14,9.41,11.1,13.47,6.04,6.8,7.75,8.98,10.61,5.12,5.73,6.46,7.38,8.56,4.37,4.85,5.43,6.14,7.03
KDP,5.71,10.64,6.26,10.62,17.16,28.06,49.85,2.35,5.35,9.55,15.85,26.35,,1.59,4.48,8.53,14.6,,,0.86,3.65,7.55,,,,0.16,2.85,,,,,,,,,,
KEY,1.21,37.24,28.34,35.1,45.24,62.14,95.93,22.26,26.91,33.43,43.19,59.47,17.7,21.07,25.55,31.82,41.24,14.16,16.68,19.92,24.24,30.29,11.32,13.26,15.7,18.82,22.99,9.0,10.53,12.41,14.76,17.77,7.06,8.3,9.78,11.59,13.86
KEYS,-0.28,20.43,100.26,116.39,140.59,180.92,261.57,85.74,96.84,112.38,135.69,174.54,74.84,82.86,93.56,108.54,131.01,66.36,72.38,80.11,90.43,104.87,59.58,64.22,70.02,77.48,87.43,54.02,57.69,62.17,67.77,74.97,49.4,52.34,55.88,60.2,65.61
KMB,-6.58,12.58,54.56,65.84,82.75,110.94,167.31,44.36,52.12,62.98,79.28,106.43,36.69,42.3,49.78,60.25,75.96,30.72,34.93,40.33,47.54,57.64,25.93,29.18,33.23,38.45,45.4,22.01,24.57,27.7,31.61,36.65,18.73,20.79,23.26,26.28,30.06
KIM,7.4,40.0,16.11,20.73,27.64,39.17,62.23,11.98,15.15,19.6,26.26,37.37,8.88,11.18,14.24,18.52,24.94,6.48,8.2,10.41,13.36,17.49,4.56,5.88,7.54,9.68,12.52,2.98,4.03,5.31,6.91,8.97,1.68,2.52,3.53,4.77,6.31
KMI,-4.09,20.41,6.35,9.55,14.36,22.37,38.4,3.45,5.66,8.75,13.38,21.1,1.28,2.87,5.0,7.98,12.44,,0.78,2.32,4.37,7.24,,,0.31,1.79,3.77,,,,,1.28,,,,,
KKR,30.0,1.0,,1.87,4.9,9.95,20.05,,,1.39,4.31,9.18,,,,0.94,3.75,,,,,0.5,,,,,,,,,,,,,,,
KLAC,9.69,31.5,707.49,825.84,1003.37,1299.26,1891.03,601.52,682.98,797.01,968.05,1253.13,522.17,581.04,659.55,769.45,934.31,460.54,504.69,561.46,637.14,743.11,411.32,445.39,487.97,542.72,615.71,371.13,398.02,430.88,471.96,524.78,337.69,359.32,385.27,416.99,456.63
KHC,-1.98,10.84,19.21,24.46,32.32,45.44,71.66,14.48,18.09,23.15,30.73,43.36,10.93,13.54,17.02,21.89,29.2,8.17,10.13,12.64,16.0,20.69,5.96,7.47,9.36,11.78,15.02,4.15,5.34,6.8,8.62,10.96,2.64,3.6,4.75,6.15,7.91
KR,-0.14,1.61,26.95,36.67,51.24,75.54,124.14,18.19,24.88,34.25,48.29,71.7,11.63,16.46,22.91,31.94,45.47,6.52,10.15,14.81,21.02,29.73,2.44,5.23,8.73,13.23,19.22,,1.3,4.0,7.37,11.71,,,0.21,2.81,6.07
LHX,8.62,10.5,250.96,298.35,369.43,487.9,724.84,208.51,241.13,286.78,355.27,469.41,176.72,200.29,231.72,275.73,341.73,152.02,169.7,192.43,222.73,265.16,132.29,145.93,162.98,184.9,214.13,116.18,126.95,140.1,156.55,177.7,102.77,111.43,121.82,134.52,150.4
LH,5.55,9.28,247.12,299.73,378.65,510.17,773.23,199.91,236.12,286.81,362.84,489.57,164.54,190.71,225.6,274.46,347.74,137.05,156.67,181.91,215.55,262.65,115.07,130.22,149.15,173.48,205.93,97.12,109.07,123.68,141.94,165.42,82.17,91.78,103.31,117.41,135.04
