symbol,cagr,avg_fcf_margin,wacc_7_tgr_1,wacc_7_tgr_2,wacc_7_tgr_3,wacc_7_tgr_4,wacc_7_tgr_5,wacc_8_tgr_1,wacc_8_tgr_2,wacc_8_tgr_3,wacc_8_tgr_4,wacc_8_tgr_5,wacc_9_tgr_1,wacc_9_tgr_2,wacc_9_tgr_3,wacc_9_tgr_4,wacc_9_tgr_5,wacc_10_tgr_1,wacc_10_tgr_2,wacc_10_tgr_3,wacc_10_tgr_4,wacc_10_tgr_5,wacc_11_tgr_1,wacc_11_tgr_2,wacc_11_tgr_3,wacc_11_tgr_4,wacc_11_tgr_5,wacc_12_tgr_1,wacc_12_tgr_2,wacc_12_tgr_3,wacc_12_tgr_4,wacc_12_tgr_5,wacc_13_tgr_1,wacc_13_tgr_2,wacc_13_tgr_3,wacc_13_tgr_4,wacc_13_tgr_5
AIZ,7.93,8.57,497.27,579.77,703.52,909.77,1322.26,423.35,480.12,559.61,678.83,877.55,367.97,409.01,463.73,540.33,655.25,324.95,355.72,395.29,448.05,521.91,290.58,314.33,344.01,382.17,433.05,262.5,281.25,304.16,332.79,369.61,239.14,254.22,272.31,294.41,322.05
T,1.34,14.4,23.21,30.28,40.89,58.58,93.95,16.84,21.71,28.53,38.75,55.79,12.07,15.59,20.28,26.85,36.71,8.36,11.0,14.39,18.92,25.25,5.39,7.43,9.97,13.24,17.61,2.96,4.57,6.53,8.99,12.15,0.94,2.23,3.78,5.68,8.05
ATO,3.83,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADSK,12.92,30.19,288.67,336.76,408.91,529.15,769.64,245.67,278.77,325.11,394.62,510.47,213.48,237.41,269.31,313.98,380.97,188.5,206.44,229.51,260.27,303.33,168.56,182.4,199.71,221.96,251.62,152.28,163.21,176.57,193.26,214.72,138.75,147.54,158.09,170.97,187.09
ADP,7.61,18.93,215.21,250.93,304.52,393.84,572.47,183.19,207.77,242.19,293.83,379.88,159.2,176.97,200.67,233.84,283.61,140.56,153.89,171.03,193.87,225.86,125.68,135.96,148.81,165.34,187.37,113.51,121.63,131.55,143.95,159.89,103.39,109.92,117.75,127.33,139.29
AZO,5.23,11.95,2035.68,2489.39,3169.95,4304.22,6572.75,1628.51,1940.75,2377.89,3033.59,4126.43,1323.37,1549.07,1850.01,2271.32,2903.29,1086.23,1255.48,1473.09,1763.23,2169.43,896.69,1027.27,1190.51,1400.38,1680.2,741.75,844.83,970.81,1128.29,1330.77,612.76,695.66,795.14,916.72,1068.7
AVB,5.45,40.0,108.92,137.34,179.97,251.03,393.13,83.41,102.97,130.36,171.43,239.89,64.3,78.44,97.29,123.68,163.27,49.45,60.05,73.68,91.86,117.3,37.58,45.76,55.98,69.13,86.66,27.88,34.33,42.22,52.09,64.77,19.8,24.99,31.22,38.84,48.36
AVY,-0.68,7.37,87.61,108.57,140.01,192.41,297.21,68.73,83.16,103.35,133.64,184.13,54.57,64.99,78.9,98.36,127.55,43.55,51.36,61.42,74.82,93.59,34.73,40.76,48.3,57.99,70.92,27.51,32.27,38.09,45.36,54.72,21.49,25.32,29.91,35.53,42.55
AXON,30.0,10.49,181.17,215.33,266.55,351.93,522.69,150.83,174.33,207.24,256.59,338.85,128.15,145.14,167.79,199.51,247.08,110.58,123.32,139.7,161.54,192.12,96.59,106.42,118.71,134.51,155.57,85.19,92.95,102.44,114.29,129.53,75.74,81.98,89.47,98.62,110.06
BKR,9.44,7.0,47.09,54.9,66.61,86.14,125.18,40.1,45.47,53.0,64.28,83.09,34.86,38.75,43.93,51.18,62.06,30.8,33.71,37.46,42.45,49.44,27.55,29.8,32.61,36.22,41.03,24.9,26.67,28.84,31.55,35.03,22.69,24.12,25.83,27.92,30.54
BALL,-0.53,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC,6.0,9.99,40.54,45.96,54.08,67.62,94.7,35.68,39.41,44.63,52.46,65.5,32.04,34.74,38.33,43.36,50.9,29.21,31.23,33.83,37.29,42.14,26.95,28.51,30.46,32.96,36.3,25.1,26.33,27.84,29.72,32.14,23.57,24.56,25.74,27.19,29.01
BAX,3.79,6.58,12.39,16.77,23.35,34.31,56.24,8.45,11.46,15.69,22.03,32.59,5.49,7.68,10.58,14.66,20.76,3.2,4.84,6.94,9.74,13.67,1.36,2.63,4.2,6.23,8.94,,0.86,2.08,3.6,5.56,,,0.38,1.55,3.02
BDX,4.99,11.79,127.55,157.87,203.36,279.18,430.8,100.33,121.2,150.42,194.24,267.29,79.93,95.02,115.13,143.29,185.53,64.08,75.39,89.93,109.33,136.48,51.4,60.13,71.04,85.07,103.77,41.04,47.93,56.35,66.88,80.41,32.42,37.96,44.61,52.74,62.89
BBY,-3.43,2.46,55.95,66.36,81.97,107.99,160.04,46.55,53.72,63.75,78.79,103.86,39.5,44.68,51.58,61.25,75.75,34.01,37.89,42.89,49.54,58.86,29.61,32.61,36.35,41.17,47.59,26.01,28.38,31.27,34.88,39.52,23.01,24.91,27.19,29.98,33.47
