symbol,name,current_price,fair_value_per_share,upside_pct,predicted_ev
CEG,Constellation Energy Corporation,256.75,268.19506785367724,4.5,1.17375e+11
CPRT,"Copart, Inc.",30.845,30.884027320801795,0.1,2.4486191e+10
GLW,Corning Incorporated,177.64,197.14602356455808,11.0,1.7784032e+11
CPAY,"Corpay, Inc.",349.9301,417.82309506549217,19.4,3.5239748e+10
CTVA,"Corteva, Inc.",76.835,77.50914491791514,0.9,5.3229666e+10
CSGP,"CoStar Group, Inc.",34.13,33.72762232065247,-1.2,1.3712867e+10
COST,Costco Wholesale Corporation,984.5068,969.9844615978535,-1.5,4.2926955e+11
CRH,CRH plc,104.95,109.3453090173799,4.2,9.025256e+10
CRWD,"CrowdStrike Holdings, Inc.",681.55,717.504251153007,5.3,1.7891988e+11
CCI,Crown Castle Inc.,93.9157,93.58986883100036,-0.3,7.067148e+10
CSX,CSX Corporation,47.1,45.96086293779113,-2.4,1.03721665e+11
CMI,Cummins Inc.,656.965,674.4053571722461,2.7,9.8118566e+10
CVS,CVS Health Corporation,96.115,124.64330178647081,29.7,2.255788e+11
DHR,Danaher Corporation,185.07,187.9512711001498,1.6,1.4700939e+11
DRI,"Darden Restaurants, Inc.",198.13,195.00398563747365,-1.6,3.0251182e+10
DDOG,"Datadog, Inc.",232.19,344.23737694120217,48.3,1.1040904e+11
DVA,DaVita Inc.,192.635,220.49963923034977,14.5,2.6707065e+10
DECK,Deckers Outdoor Corporation,107.715,109.2715235249999,1.4,1.3643679e+10
DE,Deere & Company,589.3,596.6731216169821,1.3,2.007074e+11
DELL,Dell Technologies Inc.,391.11,841.5421571345596,115.2,2.9311297e+11
DAL,"Delta Air Lines, Inc.",79.195,79.27205860555816,0.1,6.8427293e+10
DVN,Devon Energy Corporation,44.8,24.65842243998741,-45.0,3.53801e+10
DXCM,"DexCom, Inc.",73.4751,72.6005170971068,-1.2,2.6984178e+10
FANG,"Diamondback Energy, Inc.",197.08,239.2505092569442,21.4,8.102835e+10
DG,Dollar General Corporation,103.86,103.0001795892931,-0.8,3.7165752e+10
DLTR,"Dollar Tree, Inc.",109.42,137.83663342626758,26.0,3.3074698e+10
D,"Dominion Energy, Inc.",67.475,72.0642223061384,6.8,1.15243385e+11
DPZ,"Domino's Pizza, Inc.",314.74,306.8277169022668,-2.5,1.5108515e+10
DASH,"DoorDash, Inc.",156.31,169.92148066762158,8.7,6.7648926e+10
DOV,Dover Corporation,214.83,210.70394380382788,-1.9,3.0021888e+10
