symbol,name,sector,current_price,market_cap,pe_ratio,ev_ebitda,altman_z_score,z_score_zone,ml_fair_value,ml_upside,dcf_base_case,dcf_bull,dcf_bear,dcf_upside,cagr,avg_fcf_margin
BSX,Boston Scientific Corporation,Healthcare,49.01,72846262272.0,20.506275,14.986,3.301,safe,48.832646668498604,-0.4,37.00095315719392,68.81540569623144,24.238334189431917,-24.5,16.54,12.56
BMY,Bristol-Myers Squibb Company,Healthcare,57.545,117510987776.0,16.119047,7.988,2.278,grey,83.5003199866317,45.1,71.34666864466179,132.14662581330597,46.83132513628657,24.0,1.45,27.38
AVGO,Broadcom Inc.,Technology,391.005,1851444690944.0,65.28214,48.485,13.483,safe,299.0837926157826,-23.5,176.82684927266857,316.77480515612586,120.79047335944232,-54.8,24.38,40.0
BR,"Broadridge Financial Solutions, Inc.",Technology,152.875,17681262592.0,16.350267,11.876,3.746,safe,127.77880774087484,-16.4,96.61088313979572,183.26357304419145,61.74039658698022,-36.8,6.46,12.17
BRO,"Brown & Brown, Inc.",Financial Services,59.18,20058933248.0,19.276873,10.695,1.423,not applicable,57.99962426667294,-2.0,83.47196056941749,160.20192512096597,52.69794309153855,41.0,17.38,23.22
BF.B,,,,,,,,,,,,,,,,
BLDR,"Builders FirstSource, Inc.",Industrials,73.785,7936305664.0,28.162216,10.976,2.405,grey,74.92161006210159,1.5,67.46691762845603,140.39097143369892,37.883537939214335,-8.6,-10.0,9.94
BG,Bunge Global SA,Consumer Defensive,126.63,24568512512.0,33.323685,18.412,3.146,safe,136.06209849013325,7.4,-25.163047990939805,9.051442363755484,-38.95840704623812,-119.9,1.51,1.0
BXP,"BXP, Inc.",Real Estate,62.05,11064223744.0,31.180904,17.727,0.603,not applicable,77.31420005485292,24.6,28.077028713568502,116.37654203600944,-7.49123578062951,-54.8,3.86,38.25
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,184.75,21777043456.0,37.323235,26.191,9.698,safe,184.47574535320808,-0.1,37.066213535721765,68.35392788299963,24.37360684635652,-79.9,-10.0,4.37
CDNS,"Cadence Design Systems, Inc.",Technology,385.075,106209853440.0,89.970795,57.136,16.034,safe,410.10754485599097,6.5,124.06685578844288,218.16536889615543,86.29353843721142,-67.8,14.14,28.98
CPT,Camden Property Trust,Real Estate,113.12,11209127936.0,31.597767,18.994,1.627,not applicable,118.6560171259844,4.9,13.68797287979333,52.68074106246076,-2.021614694167034,-87.9,3.41,23.72
CPB,The Campbell's Company,Consumer Defensive,21.66,6457852928.0,11.771739,7.601,1.666,distress,21.619697442151324,-0.2,24.85302936143217,58.390740235249424,11.355564446246603,14.7,6.19,8.26
COF,Capital One Financial Corporation,Financial Services,180.72,112460759040.0,55.77778,11.172,,not applicable,,,898.1880899608485,1527.0072731179912,645.8943453209158,397.0,15.98,40.0
CAH,"Cardinal Health, Inc.",Healthcare,206.78,48429084672.0,31.521341,13.117,5.349,safe,203.5040231082182,-1.6,184.41783208728583,329.23930618652605,126.15198817771856,-10.8,7.07,1.24
CCL,Carnival Corporation Ltd.,Consumer Cyclical,27.29,37800460288.0,12.022027,8.791,1.285,distress,31.069634896882487,13.8,-11.273988441713866,-4.379917730884926,-14.031446790074488,-141.3,29.81,1.0
CARR,Carrier Global Corporation,Industrials,66.85,55524298752.0,44.566666,21.802,2.738,grey,69.24642949837502,3.6,21.66502269216838,46.51925272631364,11.668525300699288,-67.6,7.95,7.41
CVNA,Carvana Co.,Consumer Cyclical,65.41,71744028672.0,37.80925,21.794,6.85,safe,,,2.858540476251312,7.6918285886610835,0.9184413383382738,-95.6,14.31,1.0
CASY,"Casey's General Stores, Inc.",Consumer Cyclical,766.09,28396607488.0,43.927177,22.007,6.592,safe,762.3329179364285,-0.5,169.08732222687067,334.5274677340514,102.5281959740972,-77.9,7.16,3.1
CAT,Caterpillar Inc.,Industrials,910.11,419189358592.0,45.211624,32.491,5.499,safe,804.025485054958,-11.7,188.13887266981976,378.7893083765367,111.3580808137204,-79.3,4.38,11.98
